sentence,processed_text,sentiment,token_count,original_length,processed_length
The front surfaces of these valve plates are directed towards each other .,front surfaces valve plates directed towards,neutral,6,74,44
"The inaugural speech will be given by Hannu Kyrolainen , Finland 's Ambassador to the Czech Republic .",inaugural speech given hannu kyrolainen finland ambassador czech republic,neutral,9,102,73
The increase range will vary up to 10 % .,increase range vary 10,neutral,4,41,22
"The Internal Revenue Service sees about 20 percent of all taxpayers wait until the last two weeks to file , with about 40 million returns filed in April .",internal revenue service sees 20 percent taxpayers wait last two weeks file 40 million returns filed april,neutral,17,154,106
"The latest date for registration is on 4 April , 2006 .",latest date registration april 2006,neutral,5,55,35
The Line 4 will run fully underground and will comprise 10 stations which will be executed in two implementation stages .,line run fully underground comprise 10 stations executed two implementation stages,neutral,11,121,82
"The mall will be financed on a parity basis by Pearl Plaza LLC , the joint venture company established by the Chinese investor Shanghai Industrial Investment Holdings Co Ltd , and SRV Group .",mall financed parity basis pearl plaza llc joint venture company established chinese investor shanghai industrial investment holdings co ltd srv group,neutral,21,191,150
"The maximum amount of the capital loan will be EUR30m and the minimum subscription -- EUR10 ,000 .",maximum amount capital loan eur30m minimum subscription eur10 000,neutral,9,98,65
The maximum number of new shares to be offered is 22 million .,maximum number new shares offered 22 million,neutral,7,62,44
The measures taken will cause one-time costs during the final part of 2006 .,measures taken cause onetime costs final part 2006,neutral,8,76,50
"The mill will have capacity to produce 500,000 tonnes of pulp per year .",mill capacity produce 500000 tonnes pulp per year,neutral,8,72,49
"The money will be spread mainly over 2011 and 2012 , the company said .",money spread mainly 2011 2012 company said,neutral,7,71,42
"The natural source of isoprene is the tree species Hevea brasiliensis , also known as the rubber tree .",natural source isoprene tree species hevea brasiliensis also known rubber tree,neutral,11,103,78
"The new majority owners of Aspocomp Thailand Co. , Ltd are certain private persons belonging to immediate circle of Aspocomp 's present Joint Venture partner , Saha Pathana Inter-Holding Plc. .",new majority owners aspocomp thailand co ltd certain private persons belonging immediate circle aspocomp present joint venture partner saha pathana interholding plc,neutral,22,193,164
The new organization consists of two business units : Charging & Messaging and Finance & Administration .,new organization consists two business units charging messaging finance administration,neutral,10,105,86
The new SEPA cads will replace Finnish bank cards .,new sepa cads replace finnish bank cards,neutral,7,51,40
"The order comprises all production lines for a plywood mill , company said in a statement received by Lesprom Network .",order comprises production lines plywood mill company said statement received lesprom network,neutral,12,119,93
"The order comprises four ball mills , which will be organized in two different streams for treating ore in the Pilanesberg platinum mine .",order comprises four ball mills organized two different streams treating ore pilanesberg platinum mine,neutral,14,138,102
"The order includes a new Crecent former , headbox , and reel .",order includes new crecent former headbox reel,neutral,7,62,46
The output of the contracts totals 72 MWe .,output contracts totals 72 mwe,neutral,5,43,30
"The parties have agreed not to disclose the price of the deal , the group said in a press release .",parties agreed disclose price deal group said press release,neutral,9,99,59
The parties have agreed not to disclose the transaction value .,parties agreed disclose transaction value,neutral,5,63,41
"The payment date is March 25 , 2010 .",payment date march 25 2010,neutral,5,37,26
"The platform is based built on Intel s second-generation MID platform , called Moorestown .",platform based built intel secondgeneration mid platform called moorestown,neutral,9,91,74
"The price of the 10,000 kroon par value bonds was 9663,51 kroons in the primary issue .",price 10000 kroon par value bonds 966351 kroons primary issue,neutral,10,87,61
The proposal by the Board of Directors on the issuance of option rights will otherwise correspond to the proposal by the Board of Directors in the Notice to the General Meeting .,proposal board directors issuance option rights otherwise correspond proposal board directors notice general meeting,neutral,14,178,116
The purchase sum is about EUR 10mn US$ 12.97 mn .,purchase sum eur 10mn us 1297 mn,neutral,7,49,32
"The report examines the medical equipment business structure and operations , history and products , and provides an analysis of its key medical equipment revenue lines .",report examines medical equipment business structure operations history products provides analysis key medical equipment revenue lines,neutral,16,170,134
"The sale of Savcor FACE to Cencorp will result in a profit or loss which can not yet be determined , owing to factors including the valuation of the consideration shares to be received and prevailing exchange rates .",sale savcor face cencorp result profit loss yet determined owing factors including valuation consideration shares received prevailing exchange rates,neutral,19,216,148
"The sale will be finalized in September or October , the company said .",sale finalized september october company said,neutral,6,71,45
"The share capital of Alma Media Corporation business ID 1944757-4 is EUR 44,767,513.80 and it is divided into 74,612,523 shares .",share capital alma media corporation business id 19447574 eur 4476751380 divided 74612523 shares,neutral,13,129,96
"The shares subscribed for under the stock options were registered in the Trade Register on 20 January 2011 , as of which date the new shares will establish shareholder rights .",shares subscribed stock options registered trade register 20 january 2011 date new shares establish shareholder rights,neutral,16,176,118
The ship unloader is totally enclosed along the entire conveying line to the storage facilities .,ship unloader totally enclosed along entire conveying line storage facilities,neutral,10,97,77
The site will cover over six hectares .,site cover six hectares,neutral,4,39,23
Their offering also covers localisation services related to production transfer to the Finnish company 's customers that already have production in Asian market or have made the decision to transfer production there .,offering also covers localisation services related production transfer finnish company customers already production asian market made decision transfer production,neutral,19,217,162
They both will report to Oriola-KD 's chief executive officer Eero Hautaniemi .,report oriolakd chief executive officer eero hautaniemi,neutral,7,79,55
This release is not an offer of securities for sale into the United States or elsewhere .,release offer securities sale united states elsewhere,neutral,7,89,53
"Tieto in Latvia is represented by IT services companies TietoEnator Alise and TietoEnator , which has operations in the industries of Financial Services Cards , Retail and Logistics and IT Outsourcing and Managed Services .",tieto latvia represented services companies tietoenator alise tietoenator operations industries financial services cards retail logistics outsourcing managed services,neutral,18,223,166
"Together with Latvia , Cramo will operate 54 rental outlets in the Baltic States .",together latvia cramo operate 54 rental outlets baltic states,neutral,9,82,61
Two other sites will be included later on .,two sites included later,neutral,4,43,24
"Under a preliminary estimation , the technology park will measure about 50,000 square meters .",preliminary estimation technology park measure 50000 square meters,neutral,8,94,66
Upon completion of the sale Proha would get some USD12 .7 m for its stake in Artemis .,upon completion sale proha would get usd12 stake artemis,neutral,9,86,56
Valga Lihatoostus markets its products under the Maks & Moorits trademark .,valga lihatoostus markets products maks moorits trademark,neutral,7,75,57
"We know that it exists , '' Artemyev said .",know exists artemyev said,neutral,4,43,25
We offer our customers solutions based on renewable raw materials .,offer customers solutions based renewable raw materials,neutral,7,67,55
"When dialing in , the participants should quote 877417 as conference ID .",dialing participants quote 877417 conference id,neutral,6,73,47
Work on the assignment has already started and is due for completion in spring 2011 .,work assignment already started due completion spring 2011,neutral,8,85,58
Yvonne Jones is owner of Chameleon Interiors .,yvonne jones owner chameleon interiors,neutral,5,46,38
ZAO YIT Moskovia builds housing in Moscow and its surrounding cities .,zao yit moskovia builds housing moscow surrounding cities,neutral,8,70,57
"Finnish printed circuit boards ( PCBs ) maker Aspocomp Group Oyj said on December 4 , 2006 it named Henry Gilchrist senior vice president of the group 's Asian operations , as of January 8 , 2007 .",finnish printed circuit boards pcbs maker aspocomp group oyj said december 2006 named henry gilchrist senior vice president group asian operations january 2007,neutral,23,197,159
` Nordic infrastructure construction is one of our strategic growth areas .,nordic infrastructure construction one strategic growth areas,neutral,7,75,61
"` Sanoma is a buyer not a target , ' he said .",sanoma buyer target said,neutral,4,46,24
"`` After the transaction , Tikkurila has no powder coatings-related operations , '' the company said .",transaction tikkurila powder coatingsrelated operations company said,neutral,7,102,68
"`` If you need malware removal tools , type the URL of your vendor of choice directly into the browser bar and use links on their website , '' wrote Trend Micro 's Rik Ferguson on Monday .",need malware removal tools type url vendor choice directly browser bar use links website wrote trend micro rik ferguson monday,neutral,20,188,126
`` It wo n't happen overnight .,wo nt happen overnight,neutral,4,31,22
`` Printed fabrics and related design expertise have always been the core of Marimekko 's business and brand .,printed fabrics related design expertise always core marimekko business brand,neutral,10,110,77
`` Serving customers locally is one of the cornerstones of customer focus for us .,serving customers locally one cornerstones customer focus us,neutral,8,82,60
`` We know there are some of our own people out there . '',know people,neutral,2,58,11
"+£lemiste City is the environment for a knowledge-based economy providing work for 3,300 people with the total turnover of its companies amounting to EEK 5.4 bn , '' said +£lo P+ñrnits , chairman of the supervisory board of +£lemiste City and Mainor .",lemiste city environment knowledgebased economy providing work 3300 people total turnover companies amounting eek 54 bn said lo prnits chairman supervisory board lemiste city mainor,neutral,25,251,181
25 November 2010 - Finnish paints and coatings company Tikkurila Oyj ( HEL : TIK1V ) said today that Finnish state-owned investment company Solidium Oy sold its 14.7 % stake in the company for a total of EUR98m .,25 november 2010 finnish paints coatings company tikkurila oyj hel tik1v said today finnish stateowned investment company solidium oy sold 147 stake company total eur98m,neutral,25,212,169
"3 January 2011 - Scandinavian lenders Sampo Bank ( HEL : SAMAS ) , Pohjola Bank ( HEL : POH1S ) and Svenska Handelsbanken ( STO : SHB A ) have provided a EUR160m ( USD213m ) line of credit to Lemminkainen Oyj ( HEL : LEM1S ) , the Finnish construction firm said on Friday .",january 2011 scandinavian lenders sampo bank hel samas pohjola bank hel poh1s svenska handelsbanken sto shb provided eur160m usd213m line credit lemminkainen oyj hel lem1s finnish construction firm said friday,neutral,30,273,209
"A coker crane will be supplied to Tesoro Corporation 's Golden Eagle Refinery in Martinez , California , while a similar crane will be delivered to BP 's Castell refinery in Spain .",coker crane supplied tesoro corporation golden eagle refinery martinez california similar crane delivered bp castell refinery spain,neutral,17,181,131
A few employees would remain at the Oulu plant in support functions for other group units .,employees would remain oulu plant support functions group units,neutral,9,91,63
A huge issue for us is the button placement .,huge issue us button placement,neutral,5,45,30
A merger between UPM and Finnish-Swedish Stora Enso is not likely either .,merger upm finnishswedish stora enso likely either,neutral,7,74,50
A paper mill in the central Maine town of Madison soon will have a new owner .,paper mill central maine town madison soon new owner,neutral,9,78,52
A total 30 % of the order value was booked in the fourth quarter of 2009 and the remainder will be booked in the second quarter of 2010 .,total 30 order value booked fourth quarter 2009 remainder booked second quarter 2010,neutral,13,137,84
"Finnish Kemira Group 's CEO , Lasse Kurkilahti , says the Group 's structural reorganisation will continue for at least a year .",finnish kemira group ceo lasse kurkilahti says group structural reorganisation continue least year,neutral,13,128,98
"Local government commissioner of +àm+Ñl , Kurt Svensson , says he will contact the management of Finnish company Componenta to find out if there are any alternatives to the company 's decision to close down its plant in +àm+Ñl .",local government commissioner ml kurt svensson says contact management finnish company componenta find alternatives company decision close plant ml,neutral,19,228,147
"According to Finnish FIM Bank , Alpro 's price would be around EUR 100mn-150mn .",according finnish fim bank alpro price would around eur 100mn150mn,neutral,10,80,66
"According to HK Ruokatalo , almost all the meat used by the company comes from Finland .",according hk ruokatalo almost meat used company comes finland,neutral,9,88,61
Activities range from the development of natural resources to the retailed marketing of finished products .,activities range development natural resources retailed marketing finished products,neutral,9,107,83
"Additionally , information on business segments , competitors and future outlook are provided .",additionally information business segments competitors future outlook provided,neutral,8,95,78
"Additionally , the company will use the solutions to automate the preparation of financial statements according to IFRS standard .",additionally company use solutions automate preparation financial statements according ifrs standard,neutral,11,130,100
Affecto has participated in the program for the development of the Norwegian pension system since 2007 .,affecto participated program development norwegian pension system since 2007,neutral,9,104,76
AffectoGenimap builds highly customised IT solutions for its customers in Finland and the Baltic countries .,affectogenimap builds highly customised solutions customers finland baltic countries,neutral,9,108,84
After 1 April 2007 Cencorp will not have any own employees in the territory .,april 2007 cencorp employees territory,neutral,5,77,38
"After the restructuring , UPM 's average paper machine capacity in Europe will be 320,000 tons ( 350,000 short tons ) in coated magazine paper and 420,000 tons ( 460,000 short tons ) in coated fine paper .",restructuring upm average paper machine capacity europe 320000 tons 350000 short tons coated magazine paper 420000 tons 460000 short tons coated fine paper,neutral,23,205,155
"After the transaction , M-real will own 30 % in Metsa-Botnia and UPM -- 17 % .",transaction mreal 30 metsabotnia upm 17,neutral,6,78,39
"After the transaction , Tikkurila has no powder coatings related operations .",transaction tikkurila powder coatings related operations,neutral,6,77,56
"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 23.4.2007 Ahlstrom Corporation will publish its first quarter financial results 2007 on Friday , April 27 , 2007 approximately at 8.30 a.m. Finnish time .",ahlstrom corporation stock exchange announcement 2342007 ahlstrom corporation publish first quarter financial results 2007 friday april 27 2007 approximately 830 finnish time,neutral,22,203,174
"ALEXANDRIA , Va. , March 15 -- Jaakko Vilo of Turku , Finland , has developed a panel press .",alexandria va march 15 jaakko vilo turku finland developed panel press,neutral,11,93,70
"Alma Media Corporation PRESS RELEASE March 25 , 2010 TYRV+ä+äN SANOMAT PURCHASE CONFIRMED The business operations of Tyrv+ñ+ñn Sanomat Oy will be transferred to Suomen Paikallissanomat Oy .",alma media corporation press release march 25 2010 tyrvn sanomat purchase confirmed business operations tyrvn sanomat oy transferred suomen paikallissanomat oy,neutral,21,189,159
"Altogether CapMan employs approximately 150 people in Helsinki , Stockholm , Copenhagen , Oslo , Moscow and Luxembourg .",altogether capman employs approximately 150 people helsinki stockholm copenhagen oslo moscow luxembourg,neutral,12,120,103
"Altona stated that the private company of Altona chairman Kevin Maloney , Tulla Resources , would take up its entitlement in full .",altona stated private company altona chairman kevin maloney tulla resources would take entitlement full,neutral,14,131,103
An earn-out payment of up to 4.0 mln euro ( $ 5.3 mln ) can also be paid depending on Intellibis financial performance in 2007 .,earnout payment 40 mln euro 53 mln also paid depending intellibis financial performance 2007,neutral,14,128,92
An EU law on the issue may be introduced around 2010 .,eu law issue may introduced around 2010,neutral,7,54,39
Another firm Air Liquide was exempted because it left the market in 1998 .,another firm air liquide exempted left market 1998,neutral,8,74,50
"Apartments of YIT Home may be purchased in 5 regions of Russia , where YIT subsidiaries carry out their activities : Moscow and Moscow region , St. Petersburg , Ekaterinburg , Kazan and Rostov-on-Don .",apartments yit home may purchased regions russia yit subsidiaries carry activities moscow moscow region st petersburg ekaterinburg kazan rostovondon,neutral,19,201,148
Arena Partners Oy is a development company for electronic business .,arena partners oy development company electronic business,neutral,7,68,57
"As of July 2 , 2007 , the market cap segments will be updated according to the average price in May 2007 .",july 2007 market cap segments updated according average price may 2007,neutral,11,106,70
"As part of the agreement , Aspocomp will also give Meadville a 10 pct slice of a subsidiary operating in Oulu , Finland .",part agreement aspocomp also give meadville 10 pct slice subsidiary operating oulu finland,neutral,13,121,90
"As part of the reorganization , Kauko-Telko Ltd will be divided into Telko Ltd , Leipurin Ltd , Hamina Terminal Services Ltd and Kaukomarkkinat Ltd. .",part reorganization kaukotelko ltd divided telko ltd leipurin ltd hamina terminal services ltd kaukomarkkinat ltd,neutral,15,150,113
Aspo 's Group structure and business operations are continually developed without any predefined schedules .,aspo group structure business operations continually developed without predefined schedules,neutral,10,108,91
"At some point , it will spread also to Iran and Iraq .",point spread also iran iraq,neutral,5,54,27
"At the end of March 2009 , the company 's loans amounted to EUR 10.113 mn .",end march 2009 company loans amounted eur 10113 mn,neutral,9,75,50
"At the moment , there are approximately 20 Vianor sales offices in Russia .",moment approximately 20 vianor sales offices russia,neutral,7,75,51
"Barclays Plc ( LSE : BARC ) ( NYSE : BCS ) , Credit Agricole SA ( EPA : ACA ) ( CAGR .",barclays plc lse barc nyse bcs credit agricole sa epa aca cagr,neutral,12,86,62
Basware Business Transactions Service enables the customer to receive and send invoices in an electronic format .,basware business transactions service enables customer receive send invoices electronic format,neutral,11,113,94
Basware finances the acquisition with a bank loan .,basware finances acquisition bank loan,neutral,5,51,38
"BasWare Invoice Processing , BasWare Contract Matching , BasWare Order Matching and BasWare KPI Reporting Tool are part of the BasWare 's Enterprise Purchase to Pay product suite .",basware invoice processing basware contract matching basware order matching basware kpi reporting tool part basware enterprise purchase pay product suite,neutral,20,180,153
Benefon will turn the Salo unit into a B2B business unit and establish a B2C business unit in the UK .,benefon turn salo unit b2b business unit establish b2c business unit uk,neutral,12,102,71
"Berling Capital , Umo Capital and Veikko Laine are the biggest shareholders in Amanda Capital .",berling capital umo capital veikko laine biggest shareholders amanda capital,neutral,10,95,76
Bluewin Security is available as a monthly subscription .,bluewin security available monthly subscription,neutral,5,57,47
"Byline : Tim Moran Cellular phone giant Nokia Corp. is offering $ 8.1 billion for digital map supplier NAVTEQ Corp. , of Chicago .",byline tim moran cellular phone giant nokia corp offering 81 billion digital map supplier navteq corp chicago,neutral,17,130,109
Capital base and capital adequacy measurement is based on approaches under Basel II .,capital base capital adequacy measurement based approaches basel ii,neutral,9,85,67
"CapMan , with offices in Helsinki , Stockholm , Copenhagen and Oslo , manages Nordic buyout , mezzanine , technology , life science and real estate funds with approximately EUR2 .6 bn in total capital .",capman offices helsinki stockholm copenhagen oslo manages nordic buyout mezzanine technology life science real estate funds approximately eur2 bn total capital,neutral,21,202,159
"CapMan 's first real estate fund , which had a total investment capacity of ( EURO ) 500 million and closed in June 2005 , invested in commercial properties in the Helsinki metropolitan area .",capman first real estate fund total investment capacity euro 500 million closed june 2005 invested commercial properties helsinki metropolitan area,neutral,20,192,147
"Cardona slowed her vehicle , turned around and returned to the intersection , where she called 911 .",cardona slowed vehicle turned around returned intersection called 911,neutral,9,100,69
"Cencorp would focus on the development , manufacture and marketing of standard products for production automation .",cencorp would focus development manufacture marketing standard products production automation,neutral,10,115,93
Changes to the as-built models from the design were communicated to the subcontractors to accommodate them into the steel and GRC fabrication process .,changes asbuilt models design communicated subcontractors accommodate steel grc fabrication process,neutral,11,151,99
Choose from a Giant Countdown with red head or rainbow trout -- or the Giant Shad Rap in perch color .,choose giant countdown red head rainbow trout giant shad rap perch color,neutral,12,102,72
Closing of such transaction took place today .,closing transaction took place today,neutral,5,46,36
"Cohen & Steers , Inc. : 5 534 530 shares representing 4.985 % of the share capital and voting rights .",cohen steers inc 534 530 shares representing 4985 share capital voting rights,neutral,12,102,77
"Cohen & Steers , Inc. : 5 534 626 shares representing 4.985 % of the share capital and voting rights .",cohen steers inc 534 626 shares representing 4985 share capital voting rights,neutral,12,102,77
com and possibly also through photo-msn .,com possibly also photomsn,neutral,4,41,26
"Companies evaluated in the report include Aladdin , CA , F-Secure , Kaspersky , Marshal , McAfee , Microsoft , Panda , Proofpoint , Sophos , Symantec , Trend Micro , Tumbleweed , and Websense .",companies evaluated report include aladdin ca fsecure kaspersky marshal mcafee microsoft panda proofpoint sophos symantec trend micro tumbleweed websense,neutral,19,193,153
COMPTEL CORPORATION Sami Ervio President and CEO Distribution : NASDAQ OMX Helsinki Major media Comptel Dynamic OSS solutions enable telecom service providers to deliver services flexibly and charge them effectively .,comptel corporation sami ervio president ceo distribution nasdaq omx helsinki major media comptel dynamic oss solutions enable telecom service providers deliver services flexibly charge effectively,neutral,25,217,197
Connectivity Services include outsourced Scan and Capture which transfers paper invoices into electronic format and Basware Business Transactions Service enables the customer to receive and send invoices in an electronic format .,connectivity services include outsourced scan capture transfers paper invoices electronic format basware business transactions service enables customer receive send invoices electronic format,neutral,22,229,191
"Country : , Finland Sector : Construction-Real Estate Target : Pohjolan Design-Talo Oy Buyer : CapMan Oyj Vendor : Ruukki Group Oyj Deal size in USD : 102.6 m Type : Divestment Status : Agreed",country finland sector constructionreal estate target pohjolan designtalo oy buyer capman oyj vendor ruukki group oyj deal size usd 1026 type divestment status agreed,neutral,24,192,166
"Country : , Switzerland Sector : Pharmaceuticals Target : Synosia Therapeutics Holding AG Buyer : Biotie Therapies Corp Deal size in USD : 129.4 m Type : Corporate acquisition Financing : All-stock Status : Closed",country switzerland sector pharmaceuticals target synosia therapeutics holding ag buyer biotie therapies corp deal size usd 1294 type corporate acquisition financing allstock status closed,neutral,24,213,188
"Cramo is a service company specialising in construction machinery and equipment rental and rental-related services , as well as the rental and sale of modular space .",cramo service company specialising construction machinery equipment rental rentalrelated services well rental sale modular space,neutral,15,166,128
"Cramo Plc is a service company specialising in construction machinery and equipment rental and rental-related services , as well as rental and sale of modular space .",cramo plc service company specialising construction machinery equipment rental rentalrelated services well rental sale modular space,neutral,16,166,132
"CS Cabot exports 55 % of its production mainly to Goodyear , Bridgestone and Michelin plants in Poland , as well as to Germany 's Michelin or Italy 's Pirelli through the company 's logistics center in Paris , Stefan said .",cs cabot exports 55 production mainly goodyear bridgestone michelin plants poland well germany michelin italy pirelli company logistics center paris stefan said,neutral,22,223,160
Danske Bank is Denmark 's largest bank with 3.5 million customers .,danske bank denmark largest bank 35 million customers,neutral,8,67,53
Decisions are to be made as quickly as possible .,decisions made quickly possible,neutral,4,49,31
Deliveries by Outotec will take place over 30 months .,deliveries outotec take place 30 months,neutral,6,54,39
"Deliveries of Nokia 1112 , Nokia 2310 and Nokia 2610 are expected to start in the second quarter of 2006 .",deliveries nokia 1112 nokia 2310 nokia 2610 expected start second quarter 2006,neutral,12,106,78
Delivery is due in the second half of 2011 .,delivery due second half 2011,neutral,5,44,29
"Den Bosch-based TomTom is Europe 's largest maker of automotive navigation devices , while Cayman Islands-based Garmin is larger in the U.S. and overall .",den boschbased tomtom europe largest maker automotive navigation devices cayman islandsbased garmin larger us overall,neutral,15,154,117
"Depending on the market situation , such projects are sold after 1 to 3 years after completion .",depending market situation projects sold years completion,neutral,7,96,57
"During the rally , which was authorized by the city administration , a consulate official came out to the workers , spoke to them and took a letter from them .",rally authorized city administration consulate official came workers spoke took letter,neutral,11,159,86
"Elcoteq Dongguan was established in 1999 in the Nancheng District of Dongguan , China and is one of Elcoteq s four volume manufacturing plants in the Asia-Pacific region .",elcoteq dongguan established 1999 nancheng district dongguan china one elcoteq four volume manufacturing plants asiapacific region,neutral,16,171,130
"Elcoteq SE Stock Exchange Announcement February 4 , 2009 at 10.00 am ( EET ) Elcoteq will publish its financial statements bulletin 2008 on Wednesday , February 11 , at 9.00 am ( EET ) .",elcoteq se stock exchange announcement february 2009 1000 eet elcoteq publish financial statements bulletin 2008 wednesday february 11 900 eet,neutral,20,186,142
"Equipment will be manufactured in Vaahto 's workshop in Hollola , Finland and is scheduled for shipments during the first quarter of 2009 .",equipment manufactured vaahto workshop hollola finland scheduled shipments first quarter 2009,neutral,11,139,93
Eriikka S+Âderstr+Âm has previously held several positions in finance and control at Nokia Networks including acting as the Business Group Controller and having the corporate controller position at Nokia Siemens Networks .,eriikka sderstrm previously held several positions finance control nokia networks including acting business group controller corporate controller position nokia siemens networks,neutral,21,222,177
"Estonia 's Agriculture Minister Helir-Valdor Seeder is in Finland on a two-day visit , in the course of which he will meet with his Finnish counterpart Sirkka-Liisa Anttila .",estonia agriculture minister helirvaldor seeder finland twoday visit course meet finnish counterpart sirkkaliisa anttila,neutral,14,174,120
EUR 220 million of the transaction consideration was paid in the form of four-year interest-bearing vendor notes .,eur 220 million transaction consideration paid form fouryear interestbearing vendor notes,neutral,11,114,89
"Featuring the S60 user interface , this 135-gram model also comes with a 2.4-inch quarter VGA display and 100 megabytes of internal memory , expandable through the Micro Secure Digital slot .",featuring s60 user interface 135gram model also comes 24inch quarter vga display 100 megabytes internal memory expandable micro secure digital slot,neutral,21,191,147
Feed companies Suomen Rehu and Raisio do no import GMO feed .,feed companies suomen rehu raisio import gmo feed,neutral,8,61,49
"Financial , strategic and operational factors are considered .",financial strategic operational factors considered,neutral,5,62,50
Financial details were n't disclosed .,financial details nt disclosed,neutral,4,38,30
Financial terms were not disclosed .,financial terms disclosed,neutral,3,36,25
Financial terms were n't disclosed .,financial terms nt disclosed,neutral,4,36,28
"Finland 's Technopolis is planning to bring the first section of a technopark on stream in St. Petersburg at the end of 2008 , Kari Mikkonen , vice president of Technopolis , told reporters in Helsinki .",finland technopolis planning bring first section technopark stream st petersburg end 2008 kari mikkonen vice president technopolis told reporters helsinki,neutral,20,203,154
"Finnish drug distributor and wholesaler Oriola-KD Oyj said on October 11 , 2006 it named Anne Kariniemi vice president of its Logistics and Sourcing department as of January 15 , 2007 .",finnish drug distributor wholesaler oriolakd oyj said october 11 2006 named anne kariniemi vice president logistics sourcing department january 15 2007,neutral,21,185,151
Finnish investment company Neomarkka is the main owner of Kuitu Finland 's successor .,finnish investment company neomarkka main owner kuitu finland successor,neutral,9,86,71
"Following the move , Stora Enso holding in NewPage will remain unchanged .",following move stora enso holding newpage remain unchanged,neutral,8,74,58
"Following the registration , the share capital of Biotie is EUR 52,556,678.10 .",following registration share capital biotie eur 5255667810,neutral,7,79,58
"Foodservice and consumer goods markets are served by approximately 13,000 people in 54 manufacturing units and several sales offices in 33 countries .",foodservice consumer goods markets served approximately 13000 people 54 manufacturing units several sales offices 33 countries,neutral,16,150,126
For the new shares subscribed with stock options all shareholder rights commence from the date on which they are entered into the Trade Register .,new shares subscribed stock options shareholder rights commence date entered trade register,neutral,12,146,91
"Fortum expects its annual capital expenditure in the next four to five years to be within a range of EUR 0.8-1 .2 billion , as earlier announced .",fortum expects annual capital expenditure next four five years within range eur 081 billion earlier announced,neutral,16,146,109
"Founded in 1985 , Quatrocon 's clientele consists of public sector builders , central trading companies and major construction firms .",founded 1985 quatrocon clientele consists public sector builders central trading companies major construction firms,neutral,14,134,115
"F-Secure Internet Security 2010 is a security service for surfing the web , online banking and shopping , e-mail , and other online activities .",fsecure internet security 2010 security service surfing web online banking shopping email online activities,neutral,14,144,107
"Glaston 's own glass processing unit , Tamglass Glass Processing , is a manufacturer of high quality safety glass products , and operates in Finland .",glaston glass processing unit tamglass glass processing manufacturer high quality safety glass products operates finland,neutral,15,150,120
"Glaston 's own glass processing unit , Tamglass Glass Processing , is a manufacturer of high quality safety glass products operating in Finland .",glaston glass processing unit tamglass glass processing manufacturer high quality safety glass products operating finland,neutral,15,145,121
He is a Chartered Accountant in British Columbia and Alberta as well as a Certified Public Accountant in Washington State .,chartered accountant british columbia alberta well certified public accountant washington state,neutral,11,123,95
He joined Rautakirja in 1997 to lead one of its four business areas and took up the position of President and CEO in 2001 .,joined rautakirja 1997 lead one four business areas took position president ceo 2001,neutral,13,123,84
"Helsinki 19 May 2010 - Finnish company Lemminkainen Oyj ( HEL : LEM1S ) said today that it will construct an office building at Toolonlahti in downtown Helsinki , without disclosing financial details .",helsinki 19 may 2010 finnish company lemminkainen oyj hel lem1s said today construct office building toolonlahti downtown helsinki without disclosing financial details,neutral,22,201,167
Her last position in Nokia Siemens Networks was head of Business Human Resources NSN global IT .,last position nokia siemens networks head business human resources nsn global,neutral,11,96,77
Her present position is the director of Stockmann 's international department stores .,present position director stockmann international department stores,neutral,7,86,67
Her work at NetApp included strategically repositioning the brand in the category and a major global relaunch .,work netapp included strategically repositioning brand category major global relaunch,neutral,10,111,85
"Honkarakenne also decided yesterday to sell 88,500 of its B series shares to key staff members for EUR2 .9 per share .",honkarakenne also decided yesterday sell 88500 series shares key staff members eur2 per share,neutral,14,118,93
"Honkarakenne also decided yesterday to sell 88,500 of its B-series shares to key staff members for EUR 2.90 per share .",honkarakenne also decided yesterday sell 88500 bseries shares key staff members eur 290 per share,neutral,15,119,97
"Igor and Oleg Yankov , who currently manage Moron and Vitim , will hold onto the 25 % stake for now .",igor oleg yankov currently manage moron vitim hold onto 25 stake,neutral,11,101,64
Image data produced by the browser at the phone server is converted into a bitmapped image that is sent to the handset for display . '',image data produced browser phone server converted bitmapped image sent handset display,neutral,12,135,87
"In 2006 , 452 million tonnes CO2 of EUA ( EU Allowance ; emissions credit in EU ) was traded with an underlying market value approx .",2006 452 million tonnes co2 eua eu allowance emissions credit eu traded underlying market value approx,neutral,16,133,102
"In 2007 Talentum will disclose three Interim Reports - Q1 ( January - March ) on Friday , 27 April , 2007 - Q2 ( April - June ) on Friday , 20 July , 2007 - Q3 ( July - September ) on Friday , 26 October , 2007 .",2007 talentum disclose three interim reports q1 january march friday 27 april 2007 q2 april june friday 20 july 2007 q3 july september friday 26 october 2007,neutral,27,212,157
"In 2008 , the steel industry accounted for 64 percent of the cargo volumes transported , whereas the energy industry accounted for 28 percent and other industries for 8 percent .",2008 steel industry accounted 64 percent cargo volumes transported whereas energy industry accounted 28 percent industries percent,neutral,17,178,130
"In a letter to Economic Affairs Minister , the listed Estonian shipping company Tallink asks for the approval to be entitled to a 15 % cut in port fees in 2010 .",letter economic affairs minister listed estonian shipping company tallink asks approval entitled 15 cut port fees 2010,neutral,17,161,118
